X,Y,OBJECTID,RUN_DATE,SOURCE,Bureau,FACID,FACILITY_NAME,LICENSE_NUMBER,License_Effective,license_expiration,MEDICARE_ID,Telephone,FACILITY_TYPE_ID,TYPE,SUBTYPE,Category,Icon_Category,MEDICARE_TYPE,LICENSE_TYPE,LICENSE_SUBTYPE,Capacity,ADDRESS,CITY,ZIP,COUNTY,OPERATION_STATUS,X_Is_Public,Hospital_Group_License,KeyID,ADHSCODE,N_AddressType,N_LocatorType,N_ADDRESS,N_ADDR2,N_CITY,N_COUNTY,N_FULLADDR,N_LAT,N_LON,N_STATE,N_ZIP,N_ZIP4,N_BLOCK,RESERVATIO,RESERV_ID,R_METHOD,oPCA,oPCA_ID,P_Method,P_Reliable
-110.884485698038,32.2219010035714,1,2023/02/08 00:00:00+00,iqies,MED,AZ037016,INTERIM HEALTHCARE,HHA0018,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037016,(520)747-1800,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"5055 EAST BROADWAY, SUITE D-10",TUCSON,85711,PIMA,ACTIVE,Yes,,AZ037016,A,AS0,CENTRUS-TOMTOM,5055 E BROADWAY BLVD STE D-10,,TUCSON,PIMA COUNTY,"5055 E BROADWAY BLVD STE D-10 , TUCSON, AZ  85711-3640",32.221896,-110.884475,AZ,85711,3640,40190033043006,,,,TUCSON FOOTHILLS,108,Coordinates,
-111.922062992061,33.490397130745,2,2023/02/08 00:00:00+00,iqies,MED,AZ037024,Scottsdale Healthcare Home Health,HHA0163,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,037024,(480)882-4222,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,3634 N Drinkwater Blvd,SCOTTSDALE,85251,MARICOPA,ACTIVE,Yes,,AZ037024,A,AS0,CENTRUS-TOMTOM,3634 N DRINKWATER BLVD,,SCOTTSDALE,MARICOPA COUNTY,"3634 N DRINKWATER BLVD , SCOTTSDALE, AZ  85251-5622",33.490392,-111.922052,AZ,85251,5622,40132172012037,,,,SCOTTSDALE SOUTH,45,Coordinates,
-110.0133806642,34.2038513316695,3,2023/02/08 00:00:00+00,iqies,MED,AZ037027,SUMMIT HEALTHCARE HOME HEALTH,HHA0032,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037027,(928)537-6900,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,2500 East Hunt,SHOW LOW,85901,NAVAJO,ACTIVE,Yes,,AZ037027,A,AS0,CENTRUS-TOMTOM,2500 E HUNT DR,,SHOW LOW,NAVAJO COUNTY,"2500 E HUNT DR , SHOW LOW, AZ  85901-7954",34.203846,-110.01337,AZ,85901,7954,40179617013027,,,,SHOW LOW,15,Coordinates,
-112.469825185659,34.5932292486972,4,2023/02/08 00:00:00+00,iqies,MED,AZ037030,"BAYADA HOME HEALTH CARE, INC.",HHA5119,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037030,(928)759-5900,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"2971 WILLOW CREEK ROAD, BUILDI",PRESCOTT,86301,YAVAPAI,ACTIVE,Yes,,AZ037030,A,AS0,CENTRUS-TOMTOM,2971 WILLOW CREEK RD,,PRESCOTT,YAVAPAI COUNTY,"2971 WILLOW CREEK RD , PRESCOTT, AZ  86301-4142",34.593224,-112.469814,AZ,86301,4142,40250004052001,,,,PRESCOTT,21,Coordinates,
-114.337744531345,34.4790501280229,5,2023/02/08 00:00:00+00,iqies,MED,AZ037057,HAVASU REGIONAL MEDICAL CENTER HOME HEALTH,HHA8095,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,037057,(928)680-1209,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"1830 MESQUITE AVENUE, SUITE B",LAKE HAVASU CITY,86403,MOHAVE,ACTIVE,Yes,,AZ037057,A,AS0,CENTRUS-TOMTOM,1830 MESQUITE AVE STE B,,LAKE HAVASU CITY,MOHAVE COUNTY,"1830 MESQUITE AVE STE B , LAKE HAVASU CITY, AZ  86403-5885",34.479045,-114.337733,AZ,86403,5885,40159530011013,,,,LAKE HAVASU CITY,6,Coordinates,
-112.047686020591,33.5430371313483,6,2023/02/08 00:00:00+00,iqies,MED,AZ037068,"BAYADA HOME HEALTH CARE, INC.",HHA3635,2022/08/01 00:00:00+00,2023/07/31 00:00:00+00,037068,(602)870-6364,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"7250 NORTH 16TH STREET, SUITE ",PHOENIX,85020,MARICOPA,ACTIVE,Yes,,AZ037068,A,AS0,CENTRUS-TOMTOM,7250 N 16TH ST,,PHOENIX,MARICOPA COUNTY,"7250 N 16TH ST , PHOENIX, AZ  85020-5200",33.543032,-112.047675,AZ,85020,5200,40131063002003,,,,CAMELBACK EAST VILLAGE,34,Coordinates,
-110.85574569326,32.2367250070787,7,2023/02/08 00:00:00+00,iqies,MED,AZ037070,"DEPENDABLE HOME HEALTH, INC",HHA3118,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,037070,(520)721-3822,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"1121 NORTH EL DORADO PLACE, SU",TUCSON,85715,PIMA,ACTIVE,Yes,,AZ037070,A,AS0,CENTRUS-TOMTOM,1121 N EL DORADO PL # SU,,TUCSON,PIMA COUNTY,"1121 N EL DORADO PL # SU , TUCSON, AZ  85715-4622",32.23672,-110.855735,AZ,85715,4622,40190040672006,,,,TUCSON FOOTHILLS,108,Coordinates,
-110.256000526304,31.4999629259268,8,2023/02/08 00:00:00+00,iqies,MED,AZ037099,EDEN HOME HEALTH,HHA9998,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,037099,(520)335-6118,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"4066 EAST MONSANTO DRIVE, UNIT",SIERRA VISTA,85650,COCHISE,ACTIVE,Yes,,AZ037099,A,AS0,CENTRUS-TOMTOM,4066 E MONSANTO DR,,SIERRA VISTA,COCHISE COUNTY,"4066 E MONSANTO DR , SIERRA VISTA, AZ  85650-8512",31.499958,-110.25599,AZ,85650,8512,40030020012020,,,,BISBEE,124,Coordinates,
-110.943672712403,32.2607200063949,9,2023/02/08 00:00:00+00,iqies,MED,AZ037118,NURSECORE OF TUCSON,HHA0166,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037118,(520)791-2300,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"2980 NORTH CAMPBELL, SUITE 160",TUCSON,85719,PIMA,ACTIVE,Yes,,AZ037118,A,AS0,CENTRUS-TOMTOM,2980 N CAMPBELL AVE STE 160,,TUCSON,PIMA COUNTY,"2980 N CAMPBELL AVE STE 160 , TUCSON, AZ  85719-2888",32.260715,-110.943662,AZ,85719,2888,40190027022020,,,,TUCSON CENTRAL,107,Coordinates,
-110.86416769587,32.2508730087323,10,2023/02/08 00:00:00+00,iqies,MED,AZ037125,"NSI NURSING SERVICE, INC.",HHA0140,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037125,(520)731-1117,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"5995 EAST GRANT ROAD, SUITE 10",TUCSON,85712,PIMA,ACTIVE,Yes,,AZ037125,A,AS0,CENTRUS-TOMTOM,5995 E GRANT RD STE 10,,TUCSON,PIMA COUNTY,"5995 E GRANT RD STE 10 , TUCSON, AZ  85712-2354",32.250868,-110.864157,AZ,85712,2354,40190030041007,,,,TUCSON FOOTHILLS,108,Coordinates,
-110.949547657262,31.3620238747876,11,2023/02/08 00:00:00+00,iqies,MED,AZ037129,"DEPENDABLE HOME HEALTH, INC.",HHA3393,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,037129,(520)761-3211,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"857 WEST BELL ROAD, SUITE 7",NOGALES,85621,SANTA CRUZ,ACTIVE,Yes,,AZ037129,A,AS0,CENTRUS-TOMTOM,857 W BELL RD STE 7,,NOGALES,SANTA CRUZ COUNTY,"857 W BELL RD STE 7 , NOGALES, AZ  85621-4545",31.362019,-110.949537,AZ,85621,4545,40239664011003,,,,NOGALES,126,Coordinates,
